CW;CHH
0;0
0.239;4.299
0.239;4.307
0.241;4.334
0.241;4.344
0.244;4.388
0.245;4.402
0.246;4.427
0.248;4.466
0.254;4.563
0.254;4.565
0.255;4.575
0.255;4.59
0.261;4.689
0.262;4.697
0.262;4.71
0.263;4.714
0.268;4.807
0.269;4.825
0.27;4.829
0.275;4.912
0.275;4.921
0.277;4.946
0.281;5.01
0.281;5.018
0.282;5.02
0.282;5.027
0.282;5.031
0.283;5.037
0.297;5.247
0.297;5.254
0.298;5.265
0.3;5.293
0.304;5.359
0.307;5.392
0.307;5.393
0.308;5.411
0.308;5.416
0.314;5.488
0.315;5.504
0.315;5.508
0.321;5.584
0.322;5.595
0.341;5.846
0.342;5.853
0.343;5.863
0.345;5.897
0.349;5.945
0.35;5.95
0.35;5.954
0.353;5.982
0.353;5.993
0.366;6.129
0.366;6.132
0.366;6.134
0.367;6.144
0.37;6.183
0.371;6.186
0.371;6.191
0.396;6.441
0.397;6.451
0.399;6.466
0.4;6.475
0.401;6.483
0.401;6.486
0.42;6.657
0.421;6.664
0.421;6.667
0.422;6.676
0.423;6.683
0.423;6.685
0.424;6.691
0.425;6.701
0.425;6.703
0.426;6.713
0.428;6.729
0.444;6.856
0.444;6.859
0.446;6.869
0.447;6.88
0.451;6.913
0.453;6.927
0.454;6.937
0.454;6.939
0.457;6.958
0.467;7.037
0.469;7.047
0.471;7.063
0.472;7.075
0.474;7.083
0.486;7.17
0.487;7.178
0.488;7.18
0.49;7.194
0.492;7.208
0.496;7.233
0.497;7.239
0.498;7.246
0.499;7.255
1.268;11.863
1.269;11.868
1.269;11.872
1.27;11.875
1.276;11.912
1.286;11.971
1.287;11.98
1.29;11.998
1.291;12.001
1.292;12.006
1.294;12.02
1.295;12.025
1.311;12.12
1.313;12.135
1.314;12.137
1.316;12.15
1.336;12.268
1.337;12.274
1.337;12.276
1.342;12.307
1.36;12.408
1.364;12.431
1.365;12.44
1.38;12.526
1.385;12.553
1.387;12.563
1.399;12.631
1.399;12.635
1.404;12.66
1.443;12.882
1.446;12.898
1.45;12.921
1.452;12.929
1.483;13.101
1.484;13.111
1.487;13.124
1.491;13.147
1.491;13.149
1.498;13.184
1.525;13.333
1.527;13.343
1.527;13.345
1.528;13.349
1.529;13.353
1.535;13.387
1.539;13.406
1.633;13.904
1.636;13.921
1.637;13.928
1.638;13.93
1.646;13.971
1.646;13.972
1.646;13.975
1.651;14.001
1.652;14.004
1.652;14.006
1.653;14.009
1.672;14.109
1.673;14.113
1.676;14.128
1.678;14.138
1.678;14.138
1.681;14.155
1.682;14.157
1.684;14.167
1.692;14.211
1.694;14.221
1.757;14.533
1.758;14.539
1.759;14.543
1.76;14.547
1.76;14.551
1.764;14.571
1.765;14.576
1.769;14.591
1.771;14.604
1.777;14.633
1.779;14.645
1.781;14.651
1.785;14.672
1.788;14.684
1.894;15.186
1.895;15.192
1.897;15.201
1.898;15.205
1.902;15.225
1.909;15.26
1.911;15.269
1.913;15.278
1.915;15.283
1.92;15.309
1.922;15.318
1.924;15.324
1.974;15.553
1.978;15.568
1.98;15.577
1.982;15.585
1.984;15.594
1.995;15.644
1.997;15.654
2;15.667
2.002;15.677
2.004;15.685
2.005;15.688
2.009;15.707
2.01;15.71
2.01;15.711
2.087;16.042
2.088;16.045
2.09;16.052
2.095;16.076
2.099;16.091
2.104;16.114
2.108;16.129
2.109;16.132
2.115;16.16
2.117;16.168
2.118;16.171
2.123;16.191
2.163;16.355
2.165;16.362
2.165;16.363
2.165;16.364
2.167;16.371
2.169;16.38
2.172;16.391
2.175;16.402
2.184;16.438
2.185;16.443
2.187;16.453
2.191;16.466
2.23;16.618
2.232;16.628
2.233;16.633
2.234;16.635
2.24;16.657
2.248;16.688
2.248;16.69
2.255;16.716
2.259;16.731
2.266;16.757
2.293;16.858
2.294;16.864
2.296;16.872
2.298;16.877
2.299;16.879
2.301;16.887
2.303;16.897
2.304;16.901
2.306;16.906
2.306;16.908
2.311;16.924
2.312;16.931
2.313;16.934
2.319;16.955
2.408;17.276
2.41;17.282
2.412;17.29
2.414;17.299
2.418;17.31
2.42;17.319
2.423;17.327
2.428;17.345
2.43;17.352
2.45;17.421
2.451;17.427
2.452;17.429
2.454;17.436
2.456;17.443
2.457;17.448
2.458;17.45
2.461;17.46
2.466;17.479
2.47;17.489
2.514;17.636
2.516;17.642
2.519;17.654
2.525;17.673
2.528;17.682
2.528;17.685
2.529;17.687
2.548;17.748
2.549;17.751
2.55;17.754
2.587;17.868
2.589;17.875
2.591;17.88
2.594;17.89
2.598;17.903
2.601;17.911
2.602;17.915
2.605;17.925
4.066;22.303
4.07;22.316
4.075;22.33
4.079;22.344
4.082;22.352
4.097;22.396
4.099;22.402
4.101;22.409
4.108;22.43
4.135;22.511
4.139;22.523
4.143;22.533
4.145;22.54
4.15;22.556
4.153;22.563
4.205;22.72
4.209;22.732
4.21;22.734
4.211;22.738
4.225;22.779
4.228;22.789
4.273;22.921
4.275;22.926
4.28;22.942
4.281;22.944
4.32;23.06
4.321;23.061
4.33;23.089
4.333;23.097
4.384;23.245
4.384;23.246
4.549;23.725
4.552;23.732
4.556;23.745
4.556;23.746
4.559;23.755
4.561;23.758
4.564;23.769
4.571;23.789
4.573;23.793
4.575;23.8
4.631;23.96
4.637;23.979
4.64;23.987
4.685;24.116
4.686;24.118
4.69;24.129
4.712;24.194
4.767;24.351
4.77;24.357
4.773;24.366
4.784;24.397
4.807;24.464
4.811;24.474
4.815;24.487
4.824;24.511
4.825;24.514
5.061;25.178
5.064;25.184
5.065;25.189
5.076;25.22
5.078;25.225
5.1;25.287
5.154;25.435
5.155;25.438
5.164;25.463
5.188;25.531
5.19;25.536
5.221;25.622
5.227;25.637
5.4;26.109
5.405;26.123
5.409;26.133
5.415;26.15
5.417;26.155
